author_title,review_text,review_rating,review_datetime_utc
Judy Cagle,Have been going here for dipping nail polish and pedicures for over a year and have never been disappointed!,5,09/24/2024 00:39:15
Stacy Davis,I love this place!  They are all very good and professional. Amy did an excellent job on my pedicure.,5,09/23/2024 22:22:36
Vicki Duncan-Murdock,,5,09/23/2024 17:53:35
A A,Tim and Lena are AMAZING!!! Very happy with the service I receive from the both of them!!! The salon is very clean and the staff are very professional and friendly.,5,09/21/2024 18:24:16
Sheila Davis,Perfection..Tina does amazing work..I got a full set,5,09/13/2024 20:50:24
Douglas Dillon,Lena is the best!!,5,09/13/2024 17:40:51
Charli Shillings,"I love this place! Tim does the best job on my nail!! It?s super clean, the people are friendly and the service is great!",5,09/10/2024 21:37:51
Alan Tom,Chips she is very good,5,09/06/2024 14:49:33
Ivan Cherkashyn,"Exelent service!
A specialist by the name - Chip does the job perfectly. Recommended!",5,09/06/2024 14:04:08
Ryann Christ,,5,09/02/2024 20:27:58
Emily,,5,09/01/2024 21:14:06
Stacy Pelfrey,Great place for pedicures!!!! Sunday afternoon treat!!!,5,09/01/2024 20:00:09
Cecilia Lovelace,"My go-to nail place! Tim did an absolute phenomenal job on my manicure, and Amy was fantastic with my pedicure. 10/10 recommend!!",5,08/31/2024 19:01:24
wanda lovelace,What a great time and beautiful nails,5,08/31/2024 19:01:07
annette hartman,Great location. Updated store recently and looks great. Tina is wonderful!,5,08/31/2024 17:04:57
Mike Feistner,,5,08/30/2024 21:08:19
Caiden Brewer,I have been seeing Tim for my nails for almost two years now. Tim always does an amazing job on my nails and it has been a pleasure getting to know him. I also love the atmosphere at Sapphire.they are very friendly and very reasonably priced.,5,08/27/2024 21:23:31
Lori Stowell,,5,08/23/2024 00:06:21
?inh N? Qu?nh H??ng,,5,08/21/2024 18:28:33
Nguy?n Ng?c Th—y Linh,"Chip did an absolutely FANTASTIC job on my nails today! I have come a few times before and was always happy but today was another level. She took so much time and patience getting the perfect shape and design of the nail! We did a light blue cats eye almond shape for summer and I?m obsessed! Highly recommend any of the techs at this salon, if you can get in with Chip you won?t be disappointed!",5,08/20/2024 21:00:27
Missy Bassett,Best pedicure I have had in a very long time!,5,08/20/2024 00:38:07
Olivia Fouche,I love this place!! It is always very clean and the staff are friendly and accommodating. I love my set and definitely recommend this place!,5,08/18/2024 20:18:14
Carole Clipperton,"Tina is great, thank you.!",5,08/16/2024 21:11:53
son nguyen,,5,08/14/2024 21:35:19
Saif Kadow,Thank you so much Excellent  services,5,07/31/2024 00:12:57
Laura Holbert,The best pedicure that my husband and I have ever had. Amy and Andree were wonderful,5,07/28/2024 17:18:18
Germaine George,,5,06/19/2024 19:31:05
recia brown,,5,06/16/2024 14:06:27
Rebecca Stansfield,Everyone was very friendly and the place is CLEAN! My daughter and I received excellent manicures and pedicures. Will definitely go back!,5,05/16/2024 19:50:40
Kim Exarhos,"Lena , Amy and Teresa are awesome! Had a great experience. The salon was very clean and decor is beautiful! Highly recommend Sapphire!",5,04/26/2024 22:47:35
Catherine foreman,I had two ladies help me one did my nails Lena I believe her name was. She was great! Very very nice and she made me laugh and the nails look great! I also had another do my pedicure and I didn?t catch her name but she was wearing a yellow sweater and she was nice as well! Will be back!,5,04/24/2024 23:02:04
Sheena Richardson,My experience was great my pedicure was amazing and my daughters acrylics looked great ??,5,04/20/2024 22:31:14
SC,Lena?s the best! Definitely recommend. Very clean and relaxing and everyone who works there is very nice :),5,04/02/2024 17:20:19
Carrie Jones,One of the best pedicures and manicures I've ever had! Amy was my nail technician. I definitely plan on going back.,5,03/24/2024 02:43:02
Sherry Sapp,Excellent and Friendly!,5,03/23/2024 23:15:39
kaycie vierstra,Tina is amazing ??,5,03/20/2024 23:29:33
